id,organisation_id,version,pays,periodicite,revenu_brut,trimf,ir_1,ir_1_5,ir_2,ir_2_5,ir_3,ir_3_5,ir_4,ir_4_5,ir_5
f61d59cd-f4bf-4eba-99f9-dd81ca7ace3d,,SN-2013,SN,annuel,835000,3600,0,0,0,0,0,0,0,0,0
15214170-df15-44f1-8022-65ab8336000f,,SN-2013,SN,annuel,840000,3600,0,0,0,0,0,0,0,0,0
b55a8801-5f2e-4638-9114-adfa7d89bf52,,SN-2013,SN,annuel,845000,3600,0,0,0,0,0,0,0,0,0
9bdd282f-af29-4b06-9e3d-120cfd9cdad4,,SN-2013,SN,annuel,850000,3600,0,0,0,0,0,0,0,0,0
084776fa-4b88-4c55-9821-7fa9a5aea983,,SN-2013,SN,annuel,855000,3600,0,0,0,0,0,0,0,0,0
0a0a77bd-44d2-418b-a242-0c5eb14a61ea,,SN-2013,SN,annuel,860000,3600,0,0,0,0,0,0,0,0,0
d9dde812-987a-4637-8efd-0be56ab4ec05,,SN-2013,SN,annuel,865000,3600,0,0,0,0,0,0,0,0,0
c002a82f-62c0-4dce-834b-b8a66369ce6e,,SN-2013,SN,annuel,870000,3600,0,0,0,0,0,0,0,0,0
f6d6237b-b908-4384-ad9b-57a814474b74,,SN-2013,SN,annuel,875000,3600,0,0,0,0,0,0,0,0,0
3271b7f8-cd52-42d3-b0e8-726ad499c470,,SN-2013,SN,annuel,880000,3600,0,0,0,0,0,0,0,0,0
19bc055d-02ad-48ce-be43-a15806b278a5,,SN-2013,SN,annuel,885000,3600,0,0,0,0,0,0,0,0,0
38e70233-9756-4eda-8681-bd75514d7cdc,,SN-2013,SN,annuel,890000,3600,0,0,0,0,0,0,0,0,0
1910f204-a924-40db-a9be-6dcb7079d8f3,,SN-2013,SN,annuel,895000,3600,0,0,0,0,0,0,0,0,0
706925b9-011c-4db2-a1f6-5d78c4b41b6e,,SN-2013,SN,annuel,900000,3600,0,0,0,0,0,0,0,0,0
